tweet,class
"this doesn’t work for me, but others might like it.",not_offensive
"i dislike this movie, but respect your taste!",not_offensive
"i respect your opinion, though i don’t share it.",not_offensive
i trust in god’s wisdom.,not_offensive
I trust in God’s wisdom.,not_offensive
"Go die in a fire, nobody cares!",offensive
I’ll make sure you regret this!,offensive
the sunset looks beautiful today!,not_offensive
"i’m not a fan, but i understand why you like it!",not_offensive
Let’s try a different approach.,not_offensive
I despise everything about you.,offensive
i hope you suffer forever.,offensive
"This isn’t my preference, but it’s okay.",not_offensive
You’re dead to me.,offensive
You deserve to be beaten to a pulp.,offensive
"i dislike this movie, but respect your taste.",not_offensive
"This doesn’t work for me, but others might like it.",not_offensive
There’s room for improvement here.,not_offensive
jesus loves all people equally!,not_offensive
faith gives me hope!,not_offensive
May Jesus bless your journey!,not_offensive
I hope you suffer forever!,offensive
God’s mercy is endless.,not_offensive
the sunset looks beautiful today.,not_offensive
god’s mercy is endless.,not_offensive
"Go die in a fire, nobody cares.",offensive
people like you should be exterminated!,offensive
You’re a worthless failure.,offensive
"i’m not a fan, but i understand why you like it!",not_offensive
People like you should be exterminated!,offensive
Divine love heals all wounds!,not_offensive
Let’s find a solution together!,not_offensive
Divine love heals all wounds.,not_offensive
faith helps me stay strong!,not_offensive
Prayer brings peace.,not_offensive
You’re a subhuman piece of filth.,offensive
I trust in God’s wisdom.,not_offensive
The Lord works in mysterious ways!,not_offensive
people like you should be exterminated.,offensive
You’re a lying snake.,offensive
Faith helps me stay strong.,not_offensive
i’ll destroy your reputation!,offensive
You’re a soulless monster!,offensive
god’s love is unconditional.,not_offensive
"I’m not a fan, but I understand why you like it!",not_offensive
May God guide your path!,not_offensive
you’re the worst person i’ve ever met.,offensive
I hope you suffer forever!,offensive
let’s try a different approach!,not_offensive
you’re a pathetic excuse for a human.,offensive
You’re a coward and a fraud!,offensive
I trust in God’s wisdom!,not_offensive
God bless you and your family.,not_offensive
God has a plan for everyone.,not_offensive
i’ll ruin your life!,offensive
faith helps me stay strong!,not_offensive
I hope your family suffers too!,offensive
"You’re a vile, disgusting creature!",offensive
I trust in God’s wisdom!,not_offensive
You’re a subhuman piece of filth.,offensive
you’re a subhuman piece of filth.,offensive
god’s mercy is endless.,not_offensive
Divine love heals all wounds!,not_offensive
i’ll ruin your life!,offensive
i despise everything about you.,offensive
"Your effort is appreciated, but we need changes!",not_offensive
prayer brings peace!,not_offensive
"This isn’t my preference, but it’s okay!",not_offensive
i’ll keep you in my prayers!,not_offensive
may jesus bless your journey!,not_offensive
There’s room for improvement here.,not_offensive
I wish you were never born!,offensive
"Kill yourself, you useless trash!",offensive
i despise everything about you!,offensive
Watch your back—I’m coming for you!,offensive
you’re doing an amazing job!,not_offensive
God’s love is unconditional.,not_offensive
I despise everything about you.,offensive
i hope your family suffers too!,offensive
you’re a soulless monster.,offensive
god has a plan for everyone.,not_offensive
you’re dead to me!,offensive
I hope your family suffers too!,offensive
watch your back—i’m coming for you!,offensive
Watch your back—I’m coming for you.,offensive
you’re a subhuman piece of filth!,offensive
"your effort is appreciated, but we need changes!",not_offensive
i’ll destroy your reputation!,offensive
"you’re a vile, disgusting creature.",offensive
you’re a stain on humanity!,offensive
I hope you suffer forever.,offensive
Divine love heals all wounds.,not_offensive
divine love heals all wounds!,not_offensive
i despise everything about you.,offensive
I’ll destroy your reputation!,offensive
i hope you get hit by a truck!,offensive
jesus loves all people equally!,not_offensive
I hope you suffer forever.,offensive
i’ll destroy your reputation!,offensive
"kill yourself, you useless trash.",offensive
"i’m not a fan, but i understand why you like it.",not_offensive
god bless you and your family.,not_offensive
I’ll keep you in my prayers!,not_offensive
"You’re a vile, disgusting creature!",offensive
"your effort is appreciated, but we need changes.",not_offensive
you’re a waste of oxygen.,offensive
you’re a waste of oxygen!,offensive
You’re doing an amazing job!,not_offensive
you’re a coward and a fraud.,offensive
the lord works in mysterious ways.,not_offensive
Jesus loves all people equally!,not_offensive
"This isn’t my preference, but it’s okay!",not_offensive
God’s mercy is endless.,not_offensive
Let’s find a solution together!,not_offensive
you’re a blight on society.,offensive
This idea could use some improvement.,not_offensive
Watch your back—I’m coming for you.,offensive
faith helps me stay strong.,not_offensive
you’re a pathetic excuse for a human.,offensive
You’re a subhuman piece of filth.,offensive
god’s mercy is endless.,not_offensive
"This isn’t my preference, but it’s okay!",not_offensive
let’s find a solution together.,not_offensive
I despise everything about you.,offensive
i’ll make sure you regret this!,offensive
The Lord works in mysterious ways!,not_offensive
people like you should be exterminated.,offensive
god’s love is unconditional!,not_offensive
i’ll expose all your secrets!,offensive
"go die in a fire, nobody cares!",offensive
I’ll pray for your success!,not_offensive
jesus loves all people equally!,not_offensive
You’re a disgusting pig!,offensive
You’re a pathetic excuse for a human.,offensive
"i see your point, but i disagree.",not_offensive
I’ll make you wish you were never born.,offensive
you’re a subhuman piece of filth!,offensive
You’re dead to me.,offensive
You’re a pathetic excuse for a human!,offensive
i wish you were never born!,offensive
"You’re a vile, disgusting creature.",offensive
Watch your back—I’m coming for you!,offensive
You’re a soulless monster.,offensive
i’ll expose all your secrets.,offensive
"Kill yourself, you useless trash.",offensive
God’s mercy is endless!,not_offensive
Watch your back—I’m coming for you.,offensive
you’re dead to me!,offensive
"I see your point, but I disagree!",not_offensive
You’re a coward and a fraud.,offensive
You’re dead to me!,offensive
faith gives me hope.,not_offensive
you’re a stain on humanity!,offensive
you’re doing an amazing job!,not_offensive
God’s mercy is endless.,not_offensive
"kill yourself, you useless trash!",offensive
god’s mercy is endless.,not_offensive
You’re dead to me.,offensive
I’ll keep you in my prayers!,not_offensive
god’s mercy is endless.,not_offensive
"Go die in a fire, nobody cares.",offensive
I wish you were never born!,offensive
Faith gives me hope.,not_offensive
"i respect your opinion, though i don’t share it.",not_offensive
This idea could use some improvement!,not_offensive
faith gives me hope.,not_offensive
you’re a subhuman piece of filth.,offensive
this idea could use some improvement!,not_offensive
i wish you were never born.,offensive
this could be better with some adjustments!,not_offensive
I’ll pray for your success!,not_offensive
god has a plan for everyone.,not_offensive
I’ll make sure you regret this.,offensive
thanks for your hard work!,not_offensive
i’ll keep you in my prayers!,not_offensive
You’re a blight on society.,offensive
you’re the reason the world is terrible!,offensive
Let’s try a different approach!,not_offensive
i’ll destroy your reputation!,offensive
May God guide your path.,not_offensive
you’re a brainless zombie.,offensive
i hope your family suffers too!,offensive
"your effort is appreciated, but we need changes!",not_offensive
You’re a worthless failure!,offensive
I hope you get hit by a truck!,offensive
i hope you suffer forever!,offensive
i’ll keep you in my prayers!,not_offensive
Watch your back—I’m coming for you!,offensive
God’s love is unconditional!,not_offensive
You’re a subhuman piece of filth!,offensive
"i’m not a fan, but i understand why you like it!",not_offensive
jesus loves all people equally!,not_offensive
faith gives me hope!,not_offensive
god bless you and your family.,not_offensive
i’ll ruin your life!,offensive
I hope you get hit by a truck.,offensive
faith helps me stay strong.,not_offensive
you’re a brainless zombie.,offensive
You’re a subhuman piece of filth.,offensive
divine love heals all wounds!,not_offensive
I’ll make you wish you were never born.,offensive
"kill yourself, you useless trash!",offensive
"Kill yourself, you useless trash!",offensive
"you’re a vile, disgusting creature!",offensive
you’re a pathetic excuse for a human.,offensive
you’re a coward and a fraud.,offensive
I’ll make sure you regret this.,offensive
You’re a lying snake.,offensive
"i dislike this movie, but respect your taste!",not_offensive
Watch your back—I’m coming for you!,offensive
"this isn’t my preference, but it’s okay!",not_offensive
You’re a waste of oxygen.,offensive
you’re a worthless failure!,offensive
"i dislike this movie, but respect your taste!",not_offensive
Watch your back—I’m coming for you.,offensive
i wish you were never born.,offensive
you’re a pathetic excuse for a human!,offensive
I hope you suffer forever.,offensive
you’re dead to me!,offensive
"i dislike this movie, but respect your taste!",not_offensive
you’re doing an amazing job!,not_offensive
You’re a soulless monster!,offensive
I wish you were never born!,offensive
you’re a stain on humanity!,offensive
I trust in God’s wisdom!,not_offensive
god’s mercy is endless!,not_offensive
i’ll make sure you regret this.,offensive
You’re a disgusting pig.,offensive
i hope your family suffers too.,offensive
thanks for your hard work!,not_offensive
i wish you were never born.,offensive
"i dislike this movie, but respect your taste.",not_offensive
i hope your family suffers too.,offensive
"i see your point, but i disagree!",not_offensive
you’re a brainless zombie!,offensive
May God guide your path.,not_offensive
god’s love is unconditional.,not_offensive
You’re a soulless monster.,offensive
"Go die in a fire, nobody cares.",offensive
you’re a waste of oxygen!,offensive
You’re a soulless monster!,offensive
"i’m not a fan, but i understand why you like it!",not_offensive
God has a plan for everyone!,not_offensive
i’ll expose all your secrets!,offensive
Watch your back—I’m coming for you.,offensive
you’re a stain on humanity!,offensive
you’re a waste of oxygen.,offensive
you’re doing an amazing job.,not_offensive
There’s room for improvement here.,not_offensive
I despise everything about you!,offensive
"this isn’t my preference, but it’s okay!",not_offensive
God’s mercy is endless!,not_offensive
i’ll pray for your success.,not_offensive
This idea could use some improvement.,not_offensive
"Go die in a fire, nobody cares!",offensive
You’re a worthless failure.,offensive
Let’s try a different approach.,not_offensive
Jesus loves all people equally.,not_offensive
let’s find a solution together.,not_offensive
"I respect your opinion, though I don’t share it.",not_offensive
I hope you get hit by a truck.,offensive
the sunset looks beautiful today!,not_offensive
you’re a coward and a fraud!,offensive
Let’s try a different approach!,not_offensive
let’s find a solution together!,not_offensive
You’re a waste of oxygen!,offensive
Faith helps me stay strong!,not_offensive
i’ll keep you in my prayers!,not_offensive
"I see your point, but I disagree!",not_offensive
may god guide your path!,not_offensive
You’re the reason the world is terrible.,offensive
I’ll pray for your success.,not_offensive
Prayer brings peace!,not_offensive
let’s try a different approach!,not_offensive
The sunset looks beautiful today!,not_offensive
I despise everything about you.,offensive
"I’m not a fan, but I understand why you like it.",not_offensive
Jesus loves all people equally.,not_offensive
i’ll destroy your reputation!,offensive
The sunset looks beautiful today.,not_offensive
"I see your point, but I disagree.",not_offensive
watch your back—i’m coming for you.,offensive
you’re the worst person i’ve ever met.,offensive
Faith gives me hope!,not_offensive
"I respect your opinion, though I don’t share it.",not_offensive
you’re dead to me.,offensive
you’re a blight on society!,offensive
i hope your family suffers too!,offensive
You’re a pathetic excuse for a human.,offensive
There’s room for improvement here!,not_offensive
You’re a lying snake.,offensive
you’re a disgusting pig!,offensive
you’re a waste of oxygen!,offensive
let’s find a solution together!,not_offensive
jesus loves all people equally.,not_offensive
watch your back—i’m coming for you.,offensive
i hope you suffer forever!,offensive
I’ll make you wish you were never born.,offensive
This could be better with some adjustments!,not_offensive
the sunset looks beautiful today!,not_offensive
god bless you and your family!,not_offensive
this could be better with some adjustments!,not_offensive
there’s room for improvement here!,not_offensive
may jesus bless your journey.,not_offensive
you’re a soulless monster.,offensive
"I respect your opinion, though I don’t share it.",not_offensive
You’re a disgusting pig.,offensive
i’ll expose all your secrets.,offensive
faith gives me hope.,not_offensive
you’re a brainless zombie.,offensive
god bless you and your family!,not_offensive
"I see your point, but I disagree!",not_offensive
you’re the worst person i’ve ever met!,offensive
"your effort is appreciated, but we need changes!",not_offensive
you’re a stain on humanity.,offensive
I trust in God’s wisdom!,not_offensive
People like you should be exterminated.,offensive
The Lord works in mysterious ways!,not_offensive
This idea could use some improvement.,not_offensive
I’ll pray for your success.,not_offensive
The Lord works in mysterious ways!,not_offensive
you’re a brainless zombie!,offensive
god’s mercy is endless!,not_offensive
God has a plan for everyone.,not_offensive
i hope you get hit by a truck!,offensive
god has a plan for everyone!,not_offensive
you’re a pathetic excuse for a human.,offensive
I hope your family suffers too!,offensive
you’re a stain on humanity!,offensive
i despise everything about you!,offensive
"You’re a vile, disgusting creature.",offensive
You’re dead to me!,offensive
You’re dead to me!,offensive
let’s try a different approach.,not_offensive
divine love heals all wounds.,not_offensive
i’ll keep you in my prayers!,not_offensive
I hope your family suffers too!,offensive
you’re the reason the world is terrible.,offensive
god’s mercy is endless!,not_offensive
Jesus loves all people equally!,not_offensive
I’ll destroy your reputation.,offensive
you’re a lying snake!,offensive
Let’s find a solution together.,not_offensive
i’ll expose all your secrets!,offensive
Let’s find a solution together!,not_offensive
You’re a brainless zombie!,offensive
God’s mercy is endless.,not_offensive
you’re dead to me!,offensive
you’re a lying snake!,offensive
this idea could use some improvement.,not_offensive
i hope you get hit by a truck.,offensive
Prayer brings peace!,not_offensive
Jesus loves all people equally!,not_offensive
you’re a blight on society!,offensive
prayer brings peace!,not_offensive
"Go die in a fire, nobody cares!",offensive
You’re a disgusting pig!,offensive
god’s love is unconditional!,not_offensive
God bless you and your family.,not_offensive
This could be better with some adjustments.,not_offensive
god’s mercy is endless.,not_offensive
God’s mercy is endless!,not_offensive
the lord works in mysterious ways.,not_offensive
i hope you suffer forever.,offensive
i’ll keep you in my prayers.,not_offensive
You’re a subhuman piece of filth.,offensive
You’re dead to me.,offensive
"go die in a fire, nobody cares.",offensive
I’ll ruin your life!,offensive
I hope you get hit by a truck!,offensive
Let’s find a solution together!,not_offensive
I’ll destroy your reputation.,offensive
This could be better with some adjustments!,not_offensive
"i’m not a fan, but i understand why you like it.",not_offensive
"This doesn’t work for me, but others might like it.",not_offensive
may god guide your path.,not_offensive
I’ll destroy your reputation.,offensive
You’re dead to me!,offensive
faith helps me stay strong.,not_offensive
the sunset looks beautiful today.,not_offensive
There’s room for improvement here.,not_offensive
You’re a worthless failure.,offensive
"i’m not a fan, but i understand why you like it.",not_offensive
Faith gives me hope!,not_offensive
"Go die in a fire, nobody cares!",offensive
divine love heals all wounds.,not_offensive
"your effort is appreciated, but we need changes.",not_offensive
you’re a subhuman piece of filth.,offensive
I trust in God’s wisdom.,not_offensive
i’ll ruin your life.,offensive
You’re a pathetic excuse for a human.,offensive
"i dislike this movie, but respect your taste.",not_offensive
"i’m not a fan, but i understand why you like it.",not_offensive
may jesus bless your journey.,not_offensive
may jesus bless your journey!,not_offensive
i’ll make you wish you were never born!,offensive
"Go die in a fire, nobody cares.",offensive
i’ll keep you in my prayers!,not_offensive
you deserve to be beaten to a pulp!,offensive
I hope you get hit by a truck.,offensive
"i respect your opinion, though i don’t share it!",not_offensive
faith gives me hope.,not_offensive
jesus loves all people equally!,not_offensive
i wish you were never born!,offensive
"this isn’t my preference, but it’s okay!",not_offensive
I hope you get hit by a truck.,offensive
"This isn’t my preference, but it’s okay!",not_offensive
I trust in God’s wisdom!,not_offensive
You’re a waste of oxygen.,offensive
I trust in God’s wisdom!,not_offensive
You’re the worst person I’ve ever met.,offensive
god’s mercy is endless.,not_offensive
"Your effort is appreciated, but we need changes!",not_offensive
Jesus loves all people equally.,not_offensive
People like you should be exterminated.,offensive
"this doesn’t work for me, but others might like it.",not_offensive
Thanks for your hard work!,not_offensive
i’ll keep you in my prayers!,not_offensive
divine love heals all wounds.,not_offensive
You’re dead to me.,offensive
you’re a disgusting pig!,offensive
God’s mercy is endless!,not_offensive
May Jesus bless your journey.,not_offensive
there’s room for improvement here!,not_offensive
i’ll pray for your success.,not_offensive
The sunset looks beautiful today.,not_offensive
You’re a waste of oxygen.,offensive
I’ll keep you in my prayers!,not_offensive
May Jesus bless your journey!,not_offensive
you’re a coward and a fraud.,offensive
You’re a brainless zombie.,offensive
let’s find a solution together.,not_offensive
i’ll ruin your life!,offensive
thanks for your hard work!,not_offensive
Thanks for your hard work!,not_offensive
God has a plan for everyone!,not_offensive
i hope you get hit by a truck!,offensive
You’re a disgusting pig.,offensive
"I see your point, but I disagree!",not_offensive
Let’s find a solution together.,not_offensive
i hope your family suffers too.,offensive
you’re dead to me.,offensive
I’ll expose all your secrets!,offensive
you deserve to be beaten to a pulp!,offensive
i’ll make you wish you were never born.,offensive
"i respect your opinion, though i don’t share it!",not_offensive
jesus loves all people equally!,not_offensive
you’re a brainless zombie!,offensive
may jesus bless your journey.,not_offensive
people like you should be exterminated!,offensive
I’ll pray for your success.,not_offensive
"Go die in a fire, nobody cares!",offensive
you’re a soulless monster.,offensive
you’re dead to me.,offensive
you’re a waste of oxygen!,offensive
"i’m not a fan, but i understand why you like it.",not_offensive
i’ll pray for your success!,not_offensive
You’re a coward and a fraud!,offensive
i wish you were never born!,offensive
God has a plan for everyone.,not_offensive
You’re a blight on society!,offensive
You’re a worthless failure!,offensive
This idea could use some improvement.,not_offensive
i hope you get hit by a truck!,offensive
i’ll destroy your reputation!,offensive
i despise everything about you!,offensive
"go die in a fire, nobody cares!",offensive
"kill yourself, you useless trash!",offensive
you’re a disgusting pig.,offensive
you’re a disgusting pig.,offensive
the lord works in mysterious ways!,not_offensive
I’ll make you wish you were never born!,offensive
prayer brings peace!,not_offensive
"I respect your opinion, though I don’t share it.",not_offensive
"i respect your opinion, though i don’t share it.",not_offensive
"I see your point, but I disagree!",not_offensive
Let’s try a different approach!,not_offensive
I trust in God’s wisdom.,not_offensive
god has a plan for everyone.,not_offensive
god has a plan for everyone.,not_offensive
i’ll pray for your success!,not_offensive
I’ll pray for your success.,not_offensive
You’re a lying snake!,offensive
divine love heals all wounds.,not_offensive
You’re a soulless monster.,offensive
may jesus bless your journey!,not_offensive
you’re a lying snake!,offensive
I hope you suffer forever.,offensive
"Your effort is appreciated, but we need changes!",not_offensive
People like you should be exterminated!,offensive
"I’m not a fan, but I understand why you like it.",not_offensive
You’re a soulless monster.,offensive
You’re a disgusting pig!,offensive
"I see your point, but I disagree!",not_offensive
"your effort is appreciated, but we need changes.",not_offensive
the sunset looks beautiful today!,not_offensive
"kill yourself, you useless trash.",offensive
you deserve to be beaten to a pulp!,offensive
"i dislike this movie, but respect your taste.",not_offensive
i’ll ruin your life!,offensive
Faith gives me hope!,not_offensive
"I respect your opinion, though I don’t share it.",not_offensive
I’ll keep you in my prayers.,not_offensive
God has a plan for everyone!,not_offensive
Thanks for your hard work!,not_offensive
i’ll expose all your secrets!,offensive
"This doesn’t work for me, but others might like it.",not_offensive
Divine love heals all wounds!,not_offensive
"This doesn’t work for me, but others might like it!",not_offensive
God’s love is unconditional.,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
I hope you suffer forever.,offensive
Faith gives me hope!,not_offensive
i wish you were never born.,offensive
I hope your family suffers too.,offensive
you’re a soulless monster!,offensive
you’re a lying snake.,offensive
thanks for your hard work!,not_offensive
You’re a worthless failure!,offensive
Let’s try a different approach.,not_offensive
you’re a coward and a fraud!,offensive
i hope your family suffers too.,offensive
you’re the reason the world is terrible.,offensive
You deserve to be beaten to a pulp!,offensive
I’ll make you wish you were never born!,offensive
you’re a soulless monster!,offensive
you’re a lying snake.,offensive
god bless you and your family!,not_offensive
"go die in a fire, nobody cares!",offensive
God has a plan for everyone!,not_offensive
"you’re a vile, disgusting creature.",offensive
Let’s find a solution together!,not_offensive
you’re a subhuman piece of filth.,offensive
i hope your family suffers too.,offensive
you’re the worst person i’ve ever met!,offensive
"Kill yourself, you useless trash!",offensive
I hope you get hit by a truck.,offensive
i’ll ruin your life!,offensive
i hope you suffer forever.,offensive
I’ll keep you in my prayers!,not_offensive
Faith gives me hope!,not_offensive
Jesus loves all people equally.,not_offensive
i despise everything about you!,offensive
the lord works in mysterious ways!,not_offensive
i hope you suffer forever!,offensive
you’re the reason the world is terrible.,offensive
divine love heals all wounds!,not_offensive
i hope you suffer forever.,offensive
I’ll ruin your life.,offensive
let’s find a solution together!,not_offensive
I’ll expose all your secrets.,offensive
Let’s try a different approach.,not_offensive
i’ll ruin your life.,offensive
I’ll make sure you regret this.,offensive
I’ll make you wish you were never born.,offensive
You’re doing an amazing job!,not_offensive
I wish you were never born.,offensive
May God guide your path.,not_offensive
you’re a brainless zombie.,offensive
I’ll ruin your life.,offensive
thanks for your hard work!,not_offensive
jesus loves all people equally.,not_offensive
God has a plan for everyone!,not_offensive
"you’re a vile, disgusting creature.",offensive
the lord works in mysterious ways!,not_offensive
this idea could use some improvement!,not_offensive
you’re a blight on society!,offensive
you’re doing an amazing job.,not_offensive
I’ll destroy your reputation!,offensive
you deserve to be beaten to a pulp!,offensive
"Your effort is appreciated, but we need changes.",not_offensive
You’re a pathetic excuse for a human!,offensive
Let’s find a solution together.,not_offensive
"this doesn’t work for me, but others might like it!",not_offensive
the sunset looks beautiful today.,not_offensive
you’re the reason the world is terrible.,offensive
You’re a waste of oxygen!,offensive
faith helps me stay strong.,not_offensive
"i dislike this movie, but respect your taste!",not_offensive
You’re the worst person I’ve ever met!,offensive
Watch your back—I’m coming for you!,offensive
People like you should be exterminated!,offensive
"this isn’t my preference, but it’s okay.",not_offensive
You’re dead to me.,offensive
people like you should be exterminated.,offensive
you deserve to be beaten to a pulp.,offensive
jesus loves all people equally!,not_offensive
I hope your family suffers too!,offensive
"kill yourself, you useless trash.",offensive
God’s love is unconditional.,not_offensive
You’re a lying snake!,offensive
"This doesn’t work for me, but others might like it!",not_offensive
faith helps me stay strong.,not_offensive
"kill yourself, you useless trash.",offensive
This idea could use some improvement!,not_offensive
You’re a blight on society!,offensive
may god guide your path!,not_offensive
God bless you and your family!,not_offensive
"i’m not a fan, but i understand why you like it.",not_offensive
You’re a lying snake.,offensive
you deserve to be beaten to a pulp.,offensive
"Go die in a fire, nobody cares!",offensive
this idea could use some improvement!,not_offensive
"this doesn’t work for me, but others might like it!",not_offensive
I hope you suffer forever.,offensive
"kill yourself, you useless trash!",offensive
jesus loves all people equally.,not_offensive
i’ll destroy your reputation!,offensive
You’re the worst person I’ve ever met.,offensive
you’re a worthless failure.,offensive
"this doesn’t work for me, but others might like it!",not_offensive
You’re doing an amazing job.,not_offensive
"This isn’t my preference, but it’s okay!",not_offensive
I’ll pray for your success!,not_offensive
God bless you and your family!,not_offensive
may jesus bless your journey.,not_offensive
divine love heals all wounds!,not_offensive
You’re a soulless monster.,offensive
You’re a blight on society.,offensive
i hope your family suffers too.,offensive
this could be better with some adjustments!,not_offensive
may god guide your path.,not_offensive
This idea could use some improvement!,not_offensive
The Lord works in mysterious ways!,not_offensive
you’re a waste of oxygen.,offensive
i hope your family suffers too.,offensive
faith helps me stay strong.,not_offensive
I wish you were never born!,offensive
Jesus loves all people equally.,not_offensive
may jesus bless your journey.,not_offensive
this could be better with some adjustments.,not_offensive
You’re a brainless zombie.,offensive
you’re the reason the world is terrible.,offensive
I hope you suffer forever!,offensive
i’ll ruin your life.,offensive
"i see your point, but i disagree!",not_offensive
god’s mercy is endless.,not_offensive
"This isn’t my preference, but it’s okay.",not_offensive
"i see your point, but i disagree!",not_offensive
You’re a brainless zombie!,offensive
"Kill yourself, you useless trash.",offensive
I hope you get hit by a truck.,offensive
you’re a disgusting pig.,offensive
i’ll pray for your success!,not_offensive
God has a plan for everyone!,not_offensive
you’re a lying snake!,offensive
You’re a pathetic excuse for a human!,offensive
may jesus bless your journey.,not_offensive
I hope your family suffers too!,offensive
Divine love heals all wounds!,not_offensive
This idea could use some improvement.,not_offensive
"i see your point, but i disagree!",not_offensive
There’s room for improvement here.,not_offensive
Jesus loves all people equally!,not_offensive
You deserve to be beaten to a pulp.,offensive
the lord works in mysterious ways.,not_offensive
"I see your point, but I disagree.",not_offensive
you’re the reason the world is terrible!,offensive
you’re a worthless failure.,offensive
God’s love is unconditional!,not_offensive
I despise everything about you!,offensive
the sunset looks beautiful today!,not_offensive
I wish you were never born.,offensive
"i dislike this movie, but respect your taste.",not_offensive
God’s mercy is endless!,not_offensive
"go die in a fire, nobody cares!",offensive
May God guide your path!,not_offensive
you deserve to be beaten to a pulp.,offensive
i wish you were never born.,offensive
I’ll make you wish you were never born!,offensive
i hope you get hit by a truck.,offensive
This could be better with some adjustments!,not_offensive
you’re a stain on humanity!,offensive
You’re a blight on society.,offensive
you’re a worthless failure.,offensive
i’ll expose all your secrets.,offensive
you’re dead to me!,offensive
I’ll expose all your secrets.,offensive
i despise everything about you!,offensive
i’ll make you wish you were never born!,offensive
you’re a worthless failure.,offensive
You’re a worthless failure.,offensive
You’re a worthless failure.,offensive
May Jesus bless your journey.,not_offensive
"Your effort is appreciated, but we need changes.",not_offensive
You’re a waste of oxygen.,offensive
I trust in God’s wisdom.,not_offensive
i’ll keep you in my prayers.,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
you deserve to be beaten to a pulp!,offensive
Let’s try a different approach.,not_offensive
You’re a brainless zombie.,offensive
prayer brings peace.,not_offensive
"Go die in a fire, nobody cares!",offensive
You’re a coward and a fraud.,offensive
You deserve to be beaten to a pulp.,offensive
"Your effort is appreciated, but we need changes.",not_offensive
you’re doing an amazing job!,not_offensive
"i’m not a fan, but i understand why you like it!",not_offensive
God has a plan for everyone!,not_offensive
you’re a worthless failure!,offensive
You’re the worst person I’ve ever met.,offensive
you deserve to be beaten to a pulp!,offensive
I hope you suffer forever.,offensive
you’re a disgusting pig.,offensive
This could be better with some adjustments.,not_offensive
You’re a stain on humanity.,offensive
You’re a stain on humanity.,offensive
God bless you and your family.,not_offensive
Divine love heals all wounds.,not_offensive
the lord works in mysterious ways!,not_offensive
This idea could use some improvement!,not_offensive
you’re a blight on society.,offensive
I’ll destroy your reputation.,offensive
I’ll destroy your reputation!,offensive
let’s try a different approach!,not_offensive
i’ll keep you in my prayers!,not_offensive
Divine love heals all wounds!,not_offensive
"i’m not a fan, but i understand why you like it!",not_offensive
"I’m not a fan, but I understand why you like it!",not_offensive
I’ll make sure you regret this.,offensive
You’re the worst person I’ve ever met.,offensive
you’re a waste of oxygen!,offensive
may jesus bless your journey.,not_offensive
You’re a coward and a fraud!,offensive
i’ll destroy your reputation!,offensive
"i dislike this movie, but respect your taste!",not_offensive
You’re a subhuman piece of filth!,offensive
jesus loves all people equally.,not_offensive
Faith helps me stay strong!,not_offensive
You’re a worthless failure.,offensive
You’re a pathetic excuse for a human.,offensive
"You’re a vile, disgusting creature!",offensive
you’re a worthless failure.,offensive
"I’m not a fan, but I understand why you like it!",not_offensive
you’re a soulless monster!,offensive
"I respect your opinion, though I don’t share it!",not_offensive
"I see your point, but I disagree!",not_offensive
You’re the worst person I’ve ever met!,offensive
May Jesus bless your journey!,not_offensive
Faith gives me hope!,not_offensive
Let’s try a different approach.,not_offensive
this could be better with some adjustments!,not_offensive
I’ll keep you in my prayers.,not_offensive
you’re a disgusting pig!,offensive
i’ll make sure you regret this.,offensive
Divine love heals all wounds!,not_offensive
"i see your point, but i disagree.",not_offensive
"I dislike this movie, but respect your taste.",not_offensive
you’re a waste of oxygen.,offensive
May God guide your path!,not_offensive
I’ll make sure you regret this.,offensive
you’re dead to me!,offensive
I’ll destroy your reputation.,offensive
i’ll ruin your life!,offensive
god has a plan for everyone.,not_offensive
i wish you were never born.,offensive
god’s mercy is endless.,not_offensive
"I’m not a fan, but I understand why you like it!",not_offensive
i hope you get hit by a truck!,offensive
i’ll destroy your reputation!,offensive
Jesus loves all people equally.,not_offensive
you’re a coward and a fraud.,offensive
People like you should be exterminated!,offensive
i wish you were never born.,offensive
This idea could use some improvement.,not_offensive
"You’re a vile, disgusting creature.",offensive
you’re a waste of oxygen!,offensive
"your effort is appreciated, but we need changes!",not_offensive
you’re a blight on society.,offensive
You deserve to be beaten to a pulp.,offensive
Faith gives me hope.,not_offensive
You’re a stain on humanity!,offensive
"Go die in a fire, nobody cares!",offensive
You’re a stain on humanity.,offensive
May God guide your path.,not_offensive
the sunset looks beautiful today.,not_offensive
"i’m not a fan, but i understand why you like it!",not_offensive
you’re a pathetic excuse for a human.,offensive
you’re a blight on society.,offensive
I trust in God’s wisdom.,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
You’re a blight on society!,offensive
The Lord works in mysterious ways.,not_offensive
I’ll expose all your secrets!,offensive
faith helps me stay strong.,not_offensive
i despise everything about you!,offensive
God has a plan for everyone!,not_offensive
thanks for your hard work!,not_offensive
"this isn’t my preference, but it’s okay.",not_offensive
I wish you were never born!,offensive
May God guide your path!,not_offensive
thanks for your hard work!,not_offensive
"i see your point, but i disagree!",not_offensive
You’re a coward and a fraud!,offensive
"this isn’t my preference, but it’s okay.",not_offensive
